date,ticker,close_usd
2026-07-24,CAN,0.24
2026-07-27,MARA,11.77
2026-07-27,CLSK,14.02
2026-07-27,RIOT,21.97
2026-07-27,IREN,36.29
2026-07-27,BTDR,11.35
2026-07-27,CORZ,20.74
2026-07-27,HIVE,2.95
2026-07-27,WULF,17.98
2026-07-27,CIFR,21.65
2026-07-27,HUT,104.59
2026-07-27,CANG,1.70
2026-07-27,ABTC,5.87
2026-07-27,CAN,0.26
2026-07-28,MARA,11.38
2026-07-28,CLSK,13.48
2026-07-28,RIOT,21.24
2026-07-28,IREN,33.93
2026-07-28,BTDR,10.28
2026-07-28,CORZ,20.75
2026-07-28,HIVE,2.84
2026-07-28,WULF,17.09
2026-07-28,CIFR,20.42
2026-07-28,HUT,101.14
2026-07-28,CANG,1.70
2026-07-28,ABTC,5.48
2026-07-28,CAN,0.24
2026-07-29,MARA,10.05
2026-07-29,CLSK,12.01
2026-07-29,RIOT,18.24
2026-07-29,IREN,29.31
2026-07-29,BTDR,8.90
2026-07-29,CORZ,18.12
2026-07-29,HIVE,2.54
2026-07-29,WULF,15.09
2026-07-29,CIFR,17.69
2026-07-29,HUT,88.18
2026-07-29,CANG,1.56
2026-07-29,ABTC,5.19
2026-07-29,CAN,0.23
2026-07-30,MARA,11.82
2026-07-30,CLSK,14.54
2026-07-30,RIOT,22.12
2026-07-30,IREN,38.26
2026-07-30,BTDR,11.10
2026-07-30,CORZ,21.81
2026-07-30,HIVE,3.00
2026-07-30,WULF,17.82
2026-07-30,CIFR,22.66
2026-07-30,HUT,108.27
2026-07-30,CANG,1.43
2026-07-30,ABTC,5.90
2026-07-30,CAN,0.24
2026-07-31,MARA,11.32
2026-07-31,CLSK,13.76
2026-07-31,RIOT,20.17
2026-07-31,IREN,36.80
2026-07-31,BTDR,10.52
2026-07-31,CORZ,20.72
2026-07-31,HIVE,2.83
2026-07-31,WULF,17.66
2026-07-31,CIFR,22.32
2026-07-31,HUT,107.63
2026-07-31,CANG,1.40
2026-07-31,ABTC,5.52
2026-07-31,CAN,0.17
2026-08-03,MARA,11.75
2026-08-03,CLSK,14.65
2026-08-03,RIOT,21.42
2026-08-03,IREN,39.75
2026-08-03,BTDR,11.37
2026-08-03,CORZ,22.83
2026-08-03,HIVE,2.89
2026-08-03,WULF,18.83
2026-08-03,CIFR,24.16
2026-08-03,HUT,112.08
2026-08-03,CANG,1.61
2026-08-03,ABTC,5.85
2026-08-03,CAN,0.18
2026-08-04,MARA,11.75
2026-08-04,CLSK,14.17
2026-08-04,RIOT,21.56
2026-08-04,IREN,40.85
2026-08-04,BTDR,11.38
